Corn,Illinois,2000,Insect-resistant (Bt) only                                           ,13
Corn,Illinois,2001,Insect-resistant (Bt) only                                           ,12
Corn,Illinois,2002,Insect-resistant (Bt) only                                           ,18
Corn,Illinois,2003,Insect-resistant (Bt) only                                           ,23
Corn,Illinois,2004,Insect-resistant (Bt) only                                           ,26
Corn,Illinois,2005,Insect-resistant (Bt) only                                           ,25
Corn,Illinois,2006,Insect-resistant (Bt) only                                           ,24
Corn,Illinois,2007,Insect-resistant (Bt) only                                           ,19
Corn,Illinois,2008,Insect-resistant (Bt) only                                           ,13
Corn,Illinois,2009,Insect-resistant (Bt) only                                           ,10
Corn,Illinois,2010,Insect-resistant (Bt) only                                           ,15
Corn,Illinois,2011,Insect-resistant (Bt) only                                           ,14
Corn,Illinois,2012,Insect-resistant (Bt) only                                           ,14
Corn,Illinois,2013,Insect-resistant (Bt) only                                           ,4
Corn,Illinois,2014,Insect-resistant (Bt) only                                           ,3
Corn,Illinois,2015,Insect-resistant (Bt) only                                           ,1
Corn,Illinois,2016,Insect-resistant (Bt) only                                           ,2
Corn,Illinois,2017,Insect-resistant (Bt) only                                           ,3
Corn,Illinois,2018,Insect-resistant (Bt) only                                           ,1
Corn,Indiana,2000,Insect-resistant (Bt) only                                           ,7
Corn,Indiana,2001,Insect-resistant (Bt) only                                           ,6
Corn,Indiana,2002,Insect-resistant (Bt) only                                           ,7
Corn,Indiana,2003,Insect-resistant (Bt) only                                           ,8
Corn,Indiana,2004,Insect-resistant (Bt) only                                           ,11
Corn,Indiana,2005,Insect-resistant (Bt) only                                           ,11
Corn,Indiana,2006,Insect-resistant (Bt) only                                           ,13
Corn,Indiana,2007,Insect-resistant (Bt) only                                           ,12
Corn,Indiana,2008,Insect-resistant (Bt) only                                           ,7
Corn,Indiana,2009,Insect-resistant (Bt) only                                           ,7
Corn,Indiana,2010,Insect-resistant (Bt) only                                           ,7
Corn,Indiana,2011,Insect-resistant (Bt) only                                           ,7
Corn,Indiana,2012,Insect-resistant (Bt) only                                           ,9
Corn,Indiana,2013,Insect-resistant (Bt) only                                           ,2
Corn,Indiana,2014,Insect-resistant (Bt) only                                           ,2
Corn,Indiana,2015,Insect-resistant (Bt) only                                           ,4
Corn,Indiana,2016,Insect-resistant (Bt) only                                           ,2
Corn,Indiana,2017,Insect-resistant (Bt) only                                           ,3
Corn,Indiana,2018,Insect-resistant (Bt) only                                           ,2
Corn,Iowa,2000,Insect-resistant (Bt) only                                           ,23
Corn,Iowa,2001,Insect-resistant (Bt) only                                           ,25
Corn,Iowa,2002,Insect-resistant (Bt) only                                           ,31
Corn,Iowa,2003,Insect-resistant (Bt) only                                           ,33
Corn,Iowa,2004,Insect-resistant (Bt) only                                           ,36
Corn,Iowa,2005,Insect-resistant (Bt) only                                           ,35
Corn,Iowa,2006,Insect-resistant (Bt) only                                           ,32
Corn,Iowa,2007,Insect-resistant (Bt) only                                           ,22
Corn,Iowa,2008,Insect-resistant (Bt) only                                           ,16
Corn,Iowa,2009,Insect-resistant (Bt) only                                           ,14
Corn,Iowa,2010,Insect-resistant (Bt) only                                           ,15
Corn,Iowa,2011,Insect-resistant (Bt) only                                           ,13
Corn,Iowa,2012,Insect-resistant (Bt) only                                           ,12
Corn,Iowa,2013,Insect-resistant (Bt) only                                           ,5
Corn,Iowa,2014,Insect-resistant (Bt) only                                           ,4
Corn,Iowa,2015,Insect-resistant (Bt) only                                           ,5
Corn,Iowa,2016,Insect-resistant (Bt) only                                           ,3
Corn,Iowa,2017,Insect-resistant (Bt) only                                           ,5
Corn,Iowa,2018,Insect-resistant (Bt) only                                           ,3
Corn,Kansas,2000,Insect-resistant (Bt) only                                           ,25
Corn,Kansas,2001,Insect-resistant (Bt) only                                           ,26
Corn,Kansas,2002,Insect-resistant (Bt) only                                           ,25
Corn,Kansas,2003,Insect-resistant (Bt) only                                           ,25
Corn,Kansas,2004,Insect-resistant (Bt) only                                           ,25
Corn,Kansas,2005,Insect-resistant (Bt) only                                           ,23
Corn,Kansas,2006,Insect-resistant (Bt) only                                           ,23
Corn,Kansas,2007,Insect-resistant (Bt) only                                           ,25
Corn,Kansas,2008,Insect-resistant (Bt) only                                           ,25
Corn,Kansas,2009,Insect-resistant (Bt) only                                           ,24
Corn,Kansas,2010,Insect-resistant (Bt) only                                           ,22
Corn,Kansas,2011,Insect-resistant (Bt) only                                           ,28
Corn,Kansas,2012,Insect-resistant (Bt) only                                           ,20
Corn,Kansas,2013,Insect-resistant (Bt) only                                           ,7
Corn,Kansas,2014,Insect-resistant (Bt) only                                           ,5
Corn,Kansas,2015,Insect-resistant (Bt) only                                           ,4
Corn,Kansas,2016,Insect-resistant (Bt) only                                           ,4
Corn,Kansas,2017,Insect-resistant (Bt) only                                           ,3
Corn,Kansas,2018,Insect-resistant (Bt) only                                           ,2
Corn,Michigan,2000,Insect-resistant (Bt) only                                           ,8
Corn,Michigan,2001,Insect-resistant (Bt) only                                           ,8
Corn,Michigan,2002,Insect-resistant (Bt) only                                           ,12
Corn,Michigan,2003,Insect-resistant (Bt) only                                           ,18
